player,position,goals,xg,gox,assists_primary,xpa,xpa_per_100,xg_per_10,aox,cp,xcp,cpox,assists_secondary,assists,passes,shots
Alex Gritz,C,0,0.3,-0.3,1,0.7,1.63,0.38,0.30000000000000004,62.8,67.7,-4.900000000000006,0,1,43,8
Maxim Golod,LW,15,16.1,-1.1000000000000014,24,23.2,1.61,0.57,0.8000000000000007,75.6,73.9,1.6999999999999886,11,35,1437,281
Hayden Fowler,RW,12,9,3,8,11.8,1.32,0.63,-3.8000000000000007,63.7,71.4,-7.700000000000003,9,17,891,143
Danial Singer,RW,7,7,0,5,2.7,1.27,0.74,2.3,70.3,70.5,-0.20000000000000284,1,6,212,95
Emmett Sproule,LW,8,10.3,-2.3000000000000007,4,10.1,1.25,0.71,-6.1,68.4,71,-2.5999999999999943,4,8,807,146
Daniel D'Amato,RW,13,11.7,1.3000000000000007,6,8.9,1.25,0.84,-2.9000000000000004,67.5,69.5,-2,4,10,713,139
Kyen Sopa,RW,7,6.5,0.5,5,4.5,1.25,0.89,0.5,75.6,73.9,1.6999999999999886,3,8,361,73
Austen Swankler,C,11,11.5,-0.5,8,11.6,1.22,0.6,-3.5999999999999996,66.7,71.1,-4.3999999999999915,10,18,949,191
Brendan Sellan,LW,9,10.6,-1.5999999999999996,6,8.6,1.15,0.69,-2.5999999999999996,71.1,70,1.0999999999999943,5,11,745,154
Brendan Hoffmann,RW,8,10,-2,5,5.6,1.08,0.68,-0.5999999999999996,69.4,68.8,0.6000000000000085,2,7,517,147
Chad Yetman,C,29,25.2,3.8000000000000007,12,11.8,1.04,0.96,0.1999999999999993,77.9,73.9,4,6,18,1132,263
Connor Lockhart,C,5,5.9,-0.9000000000000004,9,6.5,1.03,0.61,2.5,69.4,70.9,-1.5,3,12,631,97
Elias Cohen,C,5,4.8,0.20000000000000018,3,4.9,0.96,0.8,-1.9000000000000004,72.3,69.4,2.8999999999999915,2,5,509,60
Noah Sedore,LW,1,1.2,-0.19999999999999996,1,2.8,0.96,0.32,-1.7999999999999998,68.4,69.2,-0.7999999999999972,4,5,291,37
Jamie Drysdale,D,6,5.1,0.9000000000000004,16,9.9,0.71,0.25,6.1,81,76,5,11,27,1397,205
Drew Hunter,D,2,2.1,-0.10000000000000009,6,6.2,0.69,0.19,-0.20000000000000018,76.9,74.1,2.8000000000000114,8,14,897,109
Jacob Golden,D,3,2.7,0.2999999999999998,4,6.4,0.62,0.23,-2.4000000000000004,78.3,75.1,3.200000000000003,7,11,1031,120
Kurtis Henry,D,4,3,1,4,5.3,0.47,0.22,-1.2999999999999998,74.3,71.9,2.3999999999999915,3,7,1135,134
Luke Beamish,D,0,0.4,-0.4,0,1.5,0.46,0.15,-1.5,79.6,74.4,5.199999999999989,2,2,328,26
Jack Duff,D,2,2.2,-0.20000000000000018,5,3.8,0.35,0.14,1.2000000000000002,71.7,71.9,-0.20000000000000284,5,10,1072,161
Cameron Morton,D,2,1.1,0.8999999999999999,4,1.9,0.33,0.13,2.1,69.8,70,-0.20000000000000284,2,6,569,82
Brendan Kischnick,D,0,1,-1,1,0.6,0.23,0.23,0.4,70,70.4,-0.4000000000000057,2,3,257,43
